Iout,V1,V2,Vout
-3.63920254E-07,0.3041,0.5,0.6
-3.63920172E-07,0.30411,0.5,0.6
-3.63920012E-07,0.30412,0.5,0.6
-3.63919895E-07,0.30413,0.5,0.6
-3.63919757E-07,0.30414,0.5,0.6
-3.63919611E-07,0.30415,0.5,0.6
-3.63919483E-07,0.30416,0.5,0.6
-3.63919394E-07,0.30417,0.5,0.6
-3.6391933E-07,0.30418,0.5,0.6
-3.6391911E-07,0.30419,0.5,0.6
-3.63918996E-07,0.3042,0.5,0.6
-3.63918932E-07,0.30421,0.5,0.6
-3.63918755E-07,0.30422,0.5,0.6
-3.63918694E-07,0.30423,0.5,0.6
-3.63918577E-07,0.30424,0.5,0.6
-3.63918456E-07,0.30425,0.5,0.6
-3.63918296E-07,0.30426,0.5,0.6
-3.63918161E-07,0.30427,0.5,0.6
-3.63918083E-07,0.30428,0.5,0.6
-3.63917884E-07,0.30429,0.5,0.6
-3.63917803E-07,0.3043,0.5,0.6
-3.63917643E-07,0.30431,0.5,0.6
-3.63917593E-07,0.30432,0.5,0.6
-3.6391739E-07,0.30433,0.5,0.6
-3.63917351E-07,0.30434,0.5,0.6
-3.63917241E-07,0.30435,0.5,0.6
-3.63917049E-07,0.30436,0.5,0.6
-3.63916961E-07,0.30437,0.5,0.6
-3.63916847E-07,0.30438,0.5,0.6
-3.63916762E-07,0.30439,0.5,0.6
-3.63916556E-07,0.3044,0.5,0.6
-3.63916477E-07,0.30441,0.5,0.6
-3.63916374E-07,0.30442,0.5,0.6
-3.63916186E-07,0.30443,0.5,0.6
-3.63916065E-07,0.30444,0.5,0.6
-3.63915955E-07,0.30445,0.5,0.6
-3.63915824E-07,0.30446,0.5,0.6
-3.63915717E-07,0.30447,0.5,0.6
-3.639156E-07,0.30448,0.5,0.6
-3.63915525E-07,0.30449,0.5,0.6
-3.63915312E-07,0.3045,0.5,0.6
-3.6391528E-07,0.30451,0.5,0.6
-3.63915085E-07,0.30452,0.5,0.6
-3.63914943E-07,0.30453,0.5,0.6
-3.63914875E-07,0.30454,0.5,0.6
-3.63914779E-07,0.30455,0.5,0.6
-3.63914605E-07,0.30456,0.5,0.6
-3.63914484E-07,0.30457,0.5,0.6
-3.63914417E-07,0.30458,0.5,0.6
-3.63914307E-07,0.30459,0.5,0.6
-3.63914122E-07,0.3046,0.5,0.6
-3.63913998E-07,0.30461,0.5,0.6
-3.63913937E-07,0.30462,0.5,0.6
-3.63913774E-07,0.30463,0.5,0.6
-3.63913706E-07,0.30464,0.5,0.6
-3.6391355E-07,0.30465,0.5,0.6
-3.63913411E-07,0.30466,0.5,0.6
-3.63913276E-07,0.30467,0.5,0.6
-3.63913156E-07,0.30468,0.5,0.6
-3.63913056E-07,0.30469,0.5,0.6
-3.63912882E-07,0.3047,0.5,0.6
-3.639128E-07,0.30471,0.5,0.6
-3.63912712E-07,0.30472,0.5,0.6
-3.63912555E-07,0.30473,0.5,0.6
-3.63912417E-07,0.30474,0.5,0.6
-3.63912285E-07,0.30475,0.5,0.6
-3.63912196E-07,0.30476,0.5,0.6
-3.63912051E-07,0.30477,0.5,0.6
-3.63911926E-07,0.30478,0.5,0.6
-3.6391183E-07,0.30479,0.5,0.6
-3.63911703E-07,0.3048,0.5,0.6
-3.63911578E-07,0.30481,0.5,0.6
-3.63911482E-07,0.30482,0.5,0.6
-3.6391133E-07,0.30483,0.5,0.6
-3.63911226E-07,0.30484,0.5,0.6
-3.6391106E-07,0.30485,0.5,0.6
-3.63910967E-07,0.30486,0.5,0.6
-3.63910843E-07,0.30487,0.5,0.6
-3.63910715E-07,0.30488,0.5,0.6
-3.63910662E-07,0.30489,0.5,0.6
-3.63910395E-07,0.3049,0.5,0.6
-3.63910374E-07,0.30491,0.5,0.6
-3.63910253E-07,0.30492,0.5,0.6
-3.63910068E-07,0.30493,0.5,0.6
-3.6390988E-07,0.30494,0.5,0.6
-3.63909841E-07,0.30495,0.5,0.6
-3.63909713E-07,0.30496,0.5,0.6
-3.63909582E-07,0.30497,0.5,0.6
-3.63909461E-07,0.30498,0.5,0.6
-3.63909347E-07,0.30499,0.5,0.6
-3.63909205E-07,0.305,0.5,0.6
-3.6390912E-07,0.30501,0.5,0.6
-3.63908992E-07,0.30502,0.5,0.6
-3.63908843E-07,0.30503,0.5,0.6
-3.63908761E-07,0.30504,0.5,0.6
-3.63908658E-07,0.30505,0.5,0.6
-3.63908555E-07,0.30506,0.5,0.6
-3.63908374E-07,0.30507,0.5,0.6
-3.6390826E-07,0.30508,0.5,0.6
-3.63908175E-07,0.30509,0.5,0.6
-3.63908015E-07,0.3051,0.5,0.6
-3.63907869E-07,0.30511,0.5,0.6
-3.63907802E-07,0.30512,0.5,0.6
-3.63907603E-07,0.30513,0.5,0.6
-3.63907521E-07,0.30514,0.5,0.6
-3.63907429E-07,0.30515,0.5,0.6
-3.63907262E-07,0.30516,0.5,0.6
-3.63907116E-07,0.30517,0.5,0.6
-3.63907038E-07,0.30518,0.5,0.6
-3.63906928E-07,0.30519,0.5,0.6
-3.63906743E-07,0.3052,0.5,0.6
-3.63906647E-07,0.30521,0.5,0.6
-3.63906548E-07,0.30522,0.5,0.6
-3.63906381E-07,0.30523,0.5,0.6
-3.63906267E-07,0.30524,0.5,0.6
-3.63906175E-07,0.30525,0.5,0.6
-3.63906032E-07,0.30526,0.5,0.6
-3.6390594E-07,0.30527,0.5,0.6
-3.63905826E-07,0.30528,0.5,0.6
-3.63905659E-07,0.30529,0.5,0.6
-3.639055E-07,0.3053,0.5,0.6
-3.63905396E-07,0.30531,0.5,0.6
-3.63905261E-07,0.30532,0.5,0.6
-3.63905158E-07,0.30533,0.5,0.6
-3.63905048E-07,0.30534,0.5,0.6
-3.6390492E-07,0.30535,0.5,0.6
-3.63904824E-07,0.30536,0.5,0.6
-3.63904689E-07,0.30537,0.5,0.6
-3.63904618E-07,0.30538,0.5,0.6
-3.63904409E-07,0.30539,0.5,0.6
-3.63904334E-07,0.3054,0.5,0.6
-3.63904189E-07,0.30541,0.5,0.6
-3.63903997E-07,0.30542,0.5,0.6
-3.63903936E-07,0.30543,0.5,0.6
-3.63903812E-07,0.30544,0.5,0.6
-3.63903624E-07,0.30545,0.5,0.6
-3.63903485E-07,0.30546,0.5,0.6
-3.63903474E-07,0.30547,0.5,0.6
-3.63903315E-07,0.30548,0.5,0.6
-3.63903183E-07,0.30549,0.5,0.6
-3.63903027E-07,0.3055,0.5,0.6
-3.63902942E-07,0.30551,0.5,0.6
-3.63902803E-07,0.30552,0.5,0.6
-3.63902693E-07,0.30553,0.5,0.6
-3.63902622E-07,0.30554,0.5,0.6
-3.63902419E-07,0.30555,0.5,0.6
-3.63902334E-07,0.30556,0.5,0.6
-3.63902224E-07,0.30557,0.5,0.6
-3.63902032E-07,0.30558,0.5,0.6
-3.6390195E-07,0.30559,0.5,0.6
-3.63901879E-07,0.3056,0.5,0.6
-3.6390167E-07,0.30561,0.5,0.6
-3.63901577E-07,0.30562,0.5,0.6
-3.63901474E-07,0.30563,0.5,0.6
-3.63901318E-07,0.30564,0.5,0.6
-3.63901222E-07,0.30565,0.5,0.6
-3.63901073E-07,0.30566,0.5,0.6
-3.63900998E-07,0.30567,0.5,0.6
-3.63900828E-07,0.30568,0.5,0.6
-3.63900721E-07,0.30569,0.5,0.6
-3.639006E-07,0.3057,0.5,0.6
