v(Vout),v(V1),v(V2)
1.7999998,1.75,0.5
1.7999998,1.76,0.5
1.7999998,1.77,0.5
1.7999998,1.78,0.5
1.7999998,1.79,0.5
1.7999998,1.8,0.5
0.0170739307,0,0.7
0.0170741433,0.01,0.7
0.0170743695,0.02,0.7
0.0170746065,0.03,0.7
0.0170748458,0.04,0.7
0.0170751016,0.05,0.7
0.0170753679,0.06,0.7
0.0170756432,0.07,0.7
0.0170759263,0.08,0.7
0.0170762287,0.09,0.7
0.0170765354,0.1,0.7
0.0170768619,0.11,0.7
0.0170772055,0.12,0.7
0.0170775627,0.13,0.7
0.0170779354,0.14,0.7
0.0170783262,0.15,0.7
0.0170787404,0.16,0.7
0.0170791757,0.17,0.7
0.0170796288,0.18,0.7
0.017080109,0.19,0.7
0.0170806149,0.2,0.7
0.0170811513,0.21,0.7
0.0170817152,0.22,0.7
0.0170823185,0.23,0.7
0.0170829574,0.24,0.7
0.0170836333,0.25,0.7
0.0170843565,0.26,0.7
0.0170851277,0.27,0.7
0.0170859486,0.28,0.7
0.0170868329,0.29,0.7
0.0170877803,0.3,0.7
0.0170887968,0.31,0.7
0.0170899027,0.32,0.7
0.0170910938,0.33,0.7
0.0170923775,0.34,0.7
0.0170937778,0.35,0.7
0.017095308,0.36,0.7
0.0170969767,0.37,0.7
0.0170988076,0.38,0.7
0.0171008281,0.39,0.7
0.0171030496,0.4,0.7
0.0171055184,0.41,0.7
0.0171082669,0.42,0.7
0.0171113368,0.43,0.7
0.0171147803,0.44,0.7
0.0171186642,0.45,0.7
0.0171230563,0.46,0.7
0.0171280613,0.47,0.7
0.0171337782,0.48,0.7
0.0171403559,0.49,0.7
0.0171479598,0.5,0.7
0.0171568122,0.51,0.7
0.0171671767,0.52,0.7
0.0171794193,0.53,0.7
0.0171939871,0.54,0.7
0.017211511,0.55,0.7
0.0172328319,0.56,0.7
0.0172591978,0.57,0.7
0.0172924952,0.58,0.7
0.0173358761,0.59,0.7
0.017395218,0.6,0.7
0.0174839431,0.61,0.7
0.0176446669,0.62,0.7
0.0183790076,0.63,0.7
0.0206602597,0.64,0.7
0.0235983392,0.65,0.7
0.0271996518,0.66,0.7
0.0317011854,0.67,0.7
0.0378695444,0.68,0.7
0.0544198893,0.69,0.7
1.0256901,0.7,0.7
1.79270658,0.71,0.7
1.79986673,0.72,0.7
1.80001284,0.73,0.7
1.80000958,0.74,0.7
