Vout,V1,V2
1.79999969,0.7,0.1
1.79999969,0.701,0.1
1.79999969,0.702,0.1
1.79999969,0.703,0.1
1.79999969,0.704,0.1
1.79999969,0.705,0.1
1.79999969,0.706,0.1
1.79999969,0.707,0.1
1.79999969,0.708,0.1
1.79999969,0.709,0.1
1.79999969,0.71,0.1
1.79999969,0.711,0.1
1.79999969,0.712,0.1
1.79999969,0.713,0.1
1.79999969,0.714,0.1
1.79999969,0.715,0.1
1.79999969,0.716,0.1
1.79999969,0.717,0.1
1.79999969,0.718,0.1
1.79999969,0.719,0.1
1.79999969,0.72,0.1
1.79999969,0.721,0.1
1.79999969,0.722,0.1
1.79999969,0.723,0.1
1.79999969,0.724,0.1
1.79999969,0.725,0.1
1.7999997,0.726,0.1
1.79999969,0.727,0.1
1.7999997,0.728,0.1
1.7999997,0.729,0.1
1.7999997,0.73,0.1
1.7999997,0.731,0.1
1.7999997,0.732,0.1
1.7999997,0.733,0.1
1.7999997,0.734,0.1
1.7999997,0.735,0.1
1.79999969,0.736,0.1
1.7999997,0.737,0.1
1.7999997,0.738,0.1
1.7999997,0.739,0.1
1.7999997,0.74,0.1
1.7999997,0.741,0.1
1.7999997,0.742,0.1
1.7999997,0.743,0.1
1.7999997,0.744,0.1
1.7999997,0.745,0.1
1.7999997,0.746,0.1
1.7999997,0.747,0.1
1.7999997,0.748,0.1
1.7999997,0.749,0.1
1.7999997,0.75,0.1
1.7999997,0.751,0.1
1.7999997,0.752,0.1
1.7999997,0.753,0.1
1.7999997,0.754,0.1
1.7999997,0.755,0.1
1.7999997,0.756,0.1
1.7999997,0.757,0.1
1.7999997,0.758,0.1
1.7999997,0.759,0.1
1.7999997,0.76,0.1
1.7999997,0.761,0.1
1.7999997,0.762,0.1
1.7999997,0.763,0.1
1.7999997,0.764,0.1
1.7999997,0.765,0.1
1.7999997,0.766,0.1
1.79999971,0.767,0.1
1.7999997,0.768,0.1
1.7999997,0.769,0.1
1.79999971,0.77,0.1
1.79999971,0.771,0.1
1.7999997,0.772,0.1
1.79999971,0.773,0.1
1.79999971,0.774,0.1
1.79999971,0.775,0.1
1.79999971,0.776,0.1
1.79999971,0.777,0.1
1.7999997,0.778,0.1
1.79999971,0.779,0.1
1.79999971,0.78,0.1
1.79999971,0.781,0.1
1.79999971,0.782,0.1
1.79999971,0.783,0.1
1.79999971,0.784,0.1
1.79999971,0.785,0.1
1.79999971,0.786,0.1
1.79999971,0.787,0.1
1.79999971,0.788,0.1
1.79999971,0.789,0.1
1.79999971,0.79,0.1
1.79999971,0.791,0.1
1.79999971,0.792,0.1
1.79999971,0.793,0.1
1.79999971,0.794,0.1
1.79999971,0.795,0.1
1.79999971,0.796,0.1
1.79999971,0.797,0.1
1.79999971,0.798,0.1
1.79999971,0.799,0.1
1.79999971,0.8,0.1
1.79999971,0.801,0.1
1.79999971,0.802,0.1
1.79999971,0.803,0.1
1.79999971,0.804,0.1
1.79999971,0.805,0.1
1.79999971,0.806,0.1
1.79999971,0.807,0.1
1.79999971,0.808,0.1
1.79999972,0.809,0.1
1.79999972,0.81,0.1
1.79999972,0.811,0.1
1.79999972,0.812,0.1
1.79999972,0.813,0.1
1.79999972,0.814,0.1
1.79999972,0.815,0.1
1.79999972,0.816,0.1
1.79999972,0.817,0.1
1.79999972,0.818,0.1
1.79999972,0.819,0.1
1.79999972,0.82,0.1
1.79999972,0.821,0.1
1.79999972,0.822,0.1
1.79999972,0.823,0.1
1.79999972,0.824,0.1
1.79999972,0.825,0.1
1.79999972,0.826,0.1
1.79999972,0.827,0.1
1.79999972,0.828,0.1
1.79999972,0.829,0.1
1.79999972,0.83,0.1
1.79999972,0.831,0.1
1.79999972,0.832,0.1
1.79999972,0.833,0.1
1.79999972,0.834,0.1
1.79999973,0.835,0.1
1.79999972,0.836,0.1
1.79999972,0.837,0.1
1.79999973,0.838,0.1
1.79999973,0.839,0.1
1.79999973,0.84,0.1
1.79999972,0.841,0.1
1.79999973,0.842,0.1
1.79999973,0.843,0.1
1.79999973,0.844,0.1
1.79999973,0.845,0.1
1.79999973,0.846,0.1
1.79999973,0.847,0.1
1.79999973,0.848,0.1
1.79999973,0.849,0.1
1.79999973,0.85,0.1
1.79999973,0.851,0.1
1.79999973,0.852,0.1
1.79999973,0.853,0.1
1.79999973,0.854,0.1
1.79999973,0.855,0.1
1.79999973,0.856,0.1
1.79999973,0.857,0.1
1.79999974,0.858,0.1
1.79999974,0.859,0.1
1.79999973,0.86,0.1
1.79999973,0.861,0.1
1.79999974,0.862,0.1
1.79999974,0.863,0.1
1.79999974,0.864,0.1
1.79999974,0.865,0.1
1.79999974,0.866,0.1
1.79999974,0.867,0.1
1.79999974,0.868,0.1
1.79999974,0.869,0.1
1.79999974,0.87,0.1
1.79999974,0.871,0.1
1.79999974,0.872,0.1
1.79999974,0.873,0.1
1.79999974,0.874,0.1
1.79999974,0.875,0.1
1.79999974,0.876,0.1
1.79999974,0.877,0.1
1.79999974,0.878,0.1
1.79999974,0.879,0.1
1.79999975,0.88,0.1
1.79999974,0.881,0.1
1.79999974,0.882,0.1
1.79999975,0.883,0.1
1.79999975,0.884,0.1
1.79999975,0.885,0.1
1.79999975,0.886,0.1
1.79999975,0.887,0.1
1.79999975,0.888,0.1
1.79999975,0.889,0.1
1.79999975,0.89,0.1
1.79999975,0.891,0.1
1.79999975,0.892,0.1
1.79999975,0.893,0.1
1.79999975,0.894,0.1
1.79999975,0.895,0.1
1.79999975,0.896,0.1
1.79999975,0.897,0.1
1.79999976,0.898,0.1
1.79999976,0.899,0.1
1.79999976,0.9,0.1
1.79999975,0.901,0.1
1.79999976,0.902,0.1
1.79999976,0.903,0.1
1.79999976,0.904,0.1
1.79999976,0.905,0.1
1.79999976,0.906,0.1
1.79999976,0.907,0.1
1.79999976,0.908,0.1
1.79999976,0.909,0.1
1.79999976,0.91,0.1
1.79999976,0.911,0.1
1.79999976,0.912,0.1
1.79999976,0.913,0.1
1.79999976,0.914,0.1
1.79999976,0.915,0.1
