Iout,V1,V2,Vout
-3.66532255E-07,0.30407,0.5,0.9
-3.66532142E-07,0.30408,0.5,0.9
-3.66531978E-07,0.30409,0.5,0.9
-3.66531928E-07,0.3041,0.5,0.9
-3.66531786E-07,0.30411,0.5,0.9
-3.66531559E-07,0.30412,0.5,0.9
-3.66531467E-07,0.30413,0.5,0.9
-3.66531438E-07,0.30414,0.5,0.9
-3.66531239E-07,0.30415,0.5,0.9
-3.6653114E-07,0.30416,0.5,0.9
-3.66530998E-07,0.30417,0.5,0.9
-3.66530891E-07,0.30418,0.5,0.9
-3.66530763E-07,0.30419,0.5,0.9
-3.66530656E-07,0.3042,0.5,0.9
-3.66530486E-07,0.30421,0.5,0.9
-3.66530365E-07,0.30422,0.5,0.9
-3.66530315E-07,0.30423,0.5,0.9
-3.66530195E-07,0.30424,0.5,0.9
-3.66530003E-07,0.30425,0.5,0.9
-3.66529903E-07,0.30426,0.5,0.9
-3.66529861E-07,0.30427,0.5,0.9
-3.66529704E-07,0.30428,0.5,0.9
-3.66529505E-07,0.30429,0.5,0.9
-3.66529406E-07,0.3043,0.5,0.9
-3.66529342E-07,0.30431,0.5,0.9
-3.66529143E-07,0.30432,0.5,0.9
-3.66529058E-07,0.30433,0.5,0.9
-3.66528944E-07,0.30434,0.5,0.9
-3.66528845E-07,0.30435,0.5,0.9
-3.6652866E-07,0.30436,0.5,0.9
-3.6652856E-07,0.30437,0.5,0.9
-3.66528447E-07,0.30438,0.5,0.9
-3.66528326E-07,0.30439,0.5,0.9
-3.66528191E-07,0.3044,0.5,0.9
-3.66528106E-07,0.30441,0.5,0.9
-3.66527964E-07,0.30442,0.5,0.9
-3.66527757E-07,0.30443,0.5,0.9
-3.66527637E-07,0.30444,0.5,0.9
-3.66527601E-07,0.30445,0.5,0.9
-3.66527395E-07,0.30446,0.5,0.9
-3.66527374E-07,0.30447,0.5,0.9
-3.66527217E-07,0.30448,0.5,0.9
-3.66527168E-07,0.30449,0.5,0.9
-3.66526947E-07,0.3045,0.5,0.9
-3.66526834E-07,0.30451,0.5,0.9
-3.66526763E-07,0.30452,0.5,0.9
-3.66526557E-07,0.30453,0.5,0.9
-3.66526479E-07,0.30454,0.5,0.9
-3.66526358E-07,0.30455,0.5,0.9
-3.66526166E-07,0.30456,0.5,0.9
-3.66526038E-07,0.30457,0.5,0.9
-3.6652601E-07,0.30458,0.5,0.9
-3.6652591E-07,0.30459,0.5,0.9
-3.66525725E-07,0.3046,0.5,0.9
-3.6652559E-07,0.30461,0.5,0.9
-3.66525548E-07,0.30462,0.5,0.9
-3.66525377E-07,0.30463,0.5,0.9
-3.66525228E-07,0.30464,0.5,0.9
-3.66525136E-07,0.30465,0.5,0.9
-3.66524986E-07,0.30466,0.5,0.9
-3.66524894E-07,0.30467,0.5,0.9
-3.66524809E-07,0.30468,0.5,0.9
-3.66524652E-07,0.30469,0.5,0.9
-3.66524532E-07,0.3047,0.5,0.9
-3.66524418E-07,0.30471,0.5,0.9
-3.6652429E-07,0.30472,0.5,0.9
-3.66524091E-07,0.30473,0.5,0.9
-3.66524013E-07,0.30474,0.5,0.9
-3.66523921E-07,0.30475,0.5,0.9
-3.66523793E-07,0.30476,0.5,0.9
-3.66523579E-07,0.30477,0.5,0.9
-3.66523459E-07,0.30478,0.5,0.9
-3.66523409E-07,0.30479,0.5,0.9
-3.66523274E-07,0.3048,0.5,0.9
-3.6652316E-07,0.30481,0.5,0.9
-3.66523068E-07,0.30482,0.5,0.9
-3.66522841E-07,0.30483,0.5,0.9
-3.66522755E-07,0.30484,0.5,0.9
-3.66522642E-07,0.30485,0.5,0.9
-3.66522578E-07,0.30486,0.5,0.9
-3.66522379E-07,0.30487,0.5,0.9
-3.66522258E-07,0.30488,0.5,0.9
-3.66522194E-07,0.30489,0.5,0.9
-3.66522002E-07,0.3049,0.5,0.9
-3.66521874E-07,0.30491,0.5,0.9
-3.66521803E-07,0.30492,0.5,0.9
-3.66521633E-07,0.30493,0.5,0.9
-3.66521533E-07,0.30494,0.5,0.9
